County-Precinct,County,Precinct,Registered,Total ballots,2016 % Turnout,S-D,%SD,S-R,%SR,Hillary,%H,Trump,%T,Gibson,%G,Olsen,%O,Registered Voters,% RV growth,2018 EV Total,EV Turnout,2016 Hillary Weight,2016 Trump Weight,0-30,30-70,70-100,,Unknown,Vote Share Discrepancy ,Hillary - (lean/strong dem EV civis),Hillary Weighted Deficit,,Potential vote Deficit,2016 Ballot Deficit,GOTV NOTES,Ethnicity
Fort Bend-1002,Fort Bend,1002,657,364,55.40%,286,78.57%,19,5.22%,326,89.56%,27,7.42%,326,89.56%,29,7.97%,634,-3.50%,178,28.08%,159,13,11,2,165,166,0,3.81%,-5,-167,-172,146,-186,,
Harris-907,Harris,907,201,90,44.78%,67,74.40%,5,5.60%,79,87.80%,7,7.80%,77,85.60%,11,12.20%,209,3.98%,36,17.22%,32,3,0,1,34,35,1,8.31%,10,-47,-37,29,-54,,
Fort Bend-1003,Fort Bend,1003,2409,1265,52.51%,904,71.46%,171,13.52%,1012,80.00%,197,15.57%,1008,79.68%,218,17.23%,2535,5.23%,661,26.07%,529,103,61,28,539,556,33,4.08%,-83,-483,-566,426,-604,,
Fort Bend-1040,Fort Bend,1040,2676,1046,39.09%,686,65.58%,150,14.34%,804,76.86%,184,17.59%,781,74.67%,224,21.41%,2627,-1.83%,447,17.02%,344,79,52,30,355,373,10,6.58%,76,-460,-384,265,-599,needs to be hit by Middleton or FB coordinated,black
Harris-774,Harris,774,426,217,50.94%,112,51.60%,35,16.10%,164,75.60%,50,23.00%,155,71.40%,54,24.90%,450,5.63%,87,19.33%,66,20,8,6,67,71,6,5.55%,26,-98,-72,46,-130,,
Fort Bend-2043,Fort Bend,2043,862,449,52.09%,289,64.37%,84,18.71%,339,11/3/2018,94,20.94%,330,73.50%,107,23.83%,867,0.58%,284,32.76%,214,59,37,33,195,215,19,-4340624.37%,-71,-125,-195,155,-165,,
Fort Bend-1094,Fort Bend,1094,11,4,36.36%,3,75.00%,1,25.00%,3,75.00%,1,25.00%,3,75.00%,1,25.00%,12,9.09%,2,16.67%,2,1,1,0,0,0,1,-75.00%,3,-2,2,1,-2,,
Fort Bend-2060,Fort Bend,2060,3461,1941,56.08%,1227,63.21%,378,19.47%,1425,73.42%,423,21.79%,1365,70.32%,510,26.28%,3368,-2.69%,1008,29.93%,740,220,85,104,768,830,51,8.97%,-173,-685,-858,520,-933,VOL DOORS,mixed
Fort Bend-2112,Fort Bend,2112,547,195,35.65%,128,65.64%,32,16.41%,142,72.82%,36,18.46%,140,71.79%,45,23.08%,554,1.28%,68,12.27%,50,13,9,3,55,57,1,10.71%,30,-92,-62,37,-127,,
Brazoria-53,Brazoria,53,1385,1001,72.27%,496,49.60%,150,15.00%,725,72.40%,230,23.00%,698,69.70%,280,28.00%,1997,44.19%,752,37.66%,544,173,94,92,524,579,42,4.62%,-378,-181,-559,371,-249,,
Fort Bend-2078,Fort Bend,2078,613,333,54.32%,212,63.66%,73,21.92%,239,71.77%,76,22.82%,236,70.87%,86,25.83%,653,6.53%,192,29.40%,138,44,10,10,163,169,9,16.25%,-93,-101,-194,94,-141,,
Fort Bend-1134,Fort Bend,1134,2584,1842,71.28%,976,52.99%,414,22.48%,1247,67.70%,495,26.87%,1186,64.39%,604,32.79%,3259,26.12%,1317,40.41%,892,354,200,199,844,963,74,5.45%,-560,-355,-916,538,-525,,
Brazoria-67,Brazoria,67,3443,2283,66.31%,1063,46.60%,453,19.80%,1538,67.40%,627,27.50%,1457,63.80%,772,33.80%,3748,8.86%,1422,37.94%,958,391,253,231,856,995,82,2.54%,-313,-580,-892,567,-861,,
Brazoria-50,Brazoria,50,5525,3944,71.38%,1656,42.00%,829,21.00%,2614,66.30%,1152,29.20%,2389,60.60%,1459,37.00%,6827,23.57%,3042,44.56%,2017,888,515,667,1709,2109,151,3.04%,-1204,-597,-1801,1129,-902,,
Fort Bend-4086,Fort Bend,4086,2497,1429,57.23%,784,54.86%,357,24.98%,945,66.13%,389,27.22%,880,61.58%,501,35.06%,2493,-0.16%,748,30.00%,495,204,126,160,425,521,37,3.52%,-1,-450,-451,291,-681,,
Brazoria-59,Brazoria,59,4779,3316,69.39%,1426,43.00%,680,20.50%,2192,66.10%,951,28.70%,2018,60.90%,1215,36.60%,5533,15.78%,2329,42.09%,1539,668,435,396,1372,1610,126,3.01%,-790,-653,-1442,871,-987,,
Fort Bend-4147,Fort Bend,4147,2577,1838,71.32%,966,52.56%,501,27.26%,1211,65.89%,562,30.58%,1081,58.81%,688,37.43%,3914,51.88%,1742,44.51%,1148,533,307,375,895,1120,165,-1.59%,-804,-63,-867,615,-96,,
Fort Bend-3150,Fort Bend,3150,5493,3601,65.56%,1973,54.79%,907,25.19%,2368,65.76%,1045,29.02%,2227,61.84%,1235,34.30%,6034,9.85%,2177,36.08%,1432,632,369,415,1286,1535,107,4.75%,-453,-936,-1389,800,-1424,VOL DOORS,mixed
Fort Bend-2096,Fort Bend,2096,2588,1464,56.57%,759,51.84%,318,21.72%,953,65.10%,416,28.42%,924,63.11%,487,33.27%,2574,-0.54%,839,32.60%,546,238,145,147,507,595,40,5.85%,-149,-407,-556,308,-625,,
Fort Bend-1048,Fort Bend,1048,2205,941,42.68%,532,56.54%,206,21.89%,611,64.93%,287,30.50%,597,63.44%,309,32.84%,2155,-2.27%,458,21.25%,297,140,139,63,239,277,17,-4.49%,95,-314,-218,158,-483,needs to be hit,latino
Fort Bend-4126,Fort Bend,4126,6321,3658,57.87%,1916,52.38%,990,27.06%,2349,64.22%,1129,30.86%,2183,59.68%,1376,37.62%,3632,,1389,38.24%,892,429,368,354,616,828,51,-4.58%,905,-1457,-552,463,-2269,VOL DOORS,
Fort Bend-4049,Fort Bend,4049,3581,2288,63.89%,1143,49.96%,611,26.70%,1457,63.68%,699,30.55%,1354,59.18%,860,37.59%,3596,0.42%,1403,39.02%,893,429,287,244,822,968,50,5.34%,-333,-564,-897,465,-885,,
Fort Bend-1058,Fort Bend,1058,637,378,59.34%,189,50.00%,93,24.60%,239,63.23%,122,32.28%,242,64.02%,125,33.07%,788,23.70%,285,36.17%,180,92,58,32,176,195,19,5.26%,-132,-59,-191,88,-93,,
Fort Bend-2151,Fort Bend,2151,2063,1471,71.30%,702,47.72%,414,28.14%,920,62.54%,487,33.11%,881,59.89%,553,37.59%,2246,8.87%,1102,49.07%,689,365,298,138,614,697,52,0.69%,-391,-231,-622,324,-369,,
Fort Bend-1076,Fort Bend,1076,4990,3319,66.51%,1703,51.31%,891,26.85%,2071,62.40%,1040,31.33%,1956,58.93%,1275,38.42%,5144,3.09%,1958,38.06%,1222,614,511,294,1055,1231,98,0.49%,-215,-849,-1065,608,-1361,VOL DOORS,mixed
Fort Bend-4125,Fort Bend,4125,4107,2491,60.65%,1280,51.38%,729,29.27%,1553,62.34%,838,33.64%,1441,57.85%,981,39.38%,4124,0.41%,1503,36.45%,937,506,359,320,742,934,82,-0.20%,-123,-616,-739,431,-988,VOL DOORS,
Fort Bend-3083,Fort Bend,3083,4027,2634,65.41%,1338,50.80%,727,27.60%,1635,62.07%,847,32.16%,1560,59.23%,989,37.55%,4334,7.62%,1614,37.24%,1002,519,319,342,883,1088,70,5.35%,-336,-633,-969,483,-1020,VOL DOORS,
Fort Bend-2137,Fort Bend,2137,624,314,50.32%,160,50.96%,87,27.71%,193,61.46%,98,31.21%,190,60.51%,107,34.08%,577,-7.53%,158,27.38%,97,49,19,20,105,117,14,12.59%,-29,-96,-125,48,-156,,
Fort Bend-4039,Fort Bend,4039,961,588,61.19%,260,44.22%,166,28.23%,358,60.88%,198,33.67%,330,56.12%,245,41.67%,1006,4.68%,386,38.37%,235,130,116,81,176,225,13,-2.70%,-43,-123,-166,105,-202,,
Fort Bend-3098,Fort Bend,3098,2769,1507,54.42%,774,51.36%,434,28.80%,914,60.65%,494,32.78%,873,57.93%,589,39.08%,2747,-0.79%,776,28.25%,471,254,202,188,349,462,37,-1.14%,103,-443,-340,216,-731,,
Fort Bend-1067,Fort Bend,1067,2867,1869,65.19%,917,49.06%,549,29.37%,1133,60.62%,638,34.14%,1077,57.62%,745,39.86%,2907,1.40%,1097,37.74%,665,374,258,162,621,718,56,4.85%,-206,-468,-674,291,-772,,
Fort Bend-4124,Fort Bend,4124,3872,2476,63.95%,1249,50.44%,677,27.34%,1496,60.42%,828,33.44%,1371,55.37%,1017,41.07%,4032,4.13%,1608,39.88%,972,538,489,380,657,885,82,-5.38%,-46,-524,-570,434,-868,,
Fort Bend-4102,Fort Bend,4102,2421,1542,63.69%,698,45.27%,500,32.43%,928,60.18%,542,35.15%,772,50.06%,720,46.69%,2421,0.00%,979,40.44%,589,344,313,268,352,513,46,-7.80%,63,-339,-276,245,-563,,
Fort Bend-4135,Fort Bend,4135,7715,5462,70.80%,2435,44.58%,1703,31.18%,3224,59.03%,1960,35.88%,2711,49.63%,2600,47.60%,6179,,2907,47.05%,1716,1043,1041,838,880,1383,148,-11.46%,961,-1508,-547,673,-2555,DESI DOORS,
Harris-475,Harris,475,1936,1052,54.34%,464,44.10%,280,26.60%,618,58.70%,373,35.50%,596,56.70%,409,38.90%,2112,9.09%,591,27.98%,347,210,142,152,258,349,39,0.39%,11,-271,-260,137,-461,,
Harris-842,Harris,842,3390,1854,54.69%,770,41.50%,466,25.10%,1083,58.40%,653,35.20%,1045,56.40%,726,39.20%,3462,2.12%,942,27.21%,550,332,217,211,466,593,48,4.51%,24,-533,-508,219,-912,Paid Canvass,
Brazoria-68,Brazoria,68,1972,1476,74.85%,578,39.20%,380,25.70%,857,58.10%,534,36.20%,837,56.70%,602,40.80%,3031,53.70%,1375,45.36%,799,498,267,277,755,921,76,8.90%,-819,-58,-877,301,-101,VOL DOORS,
Brazoria-29,Brazoria,29,3238,2168,66.95%,770,35.50%,602,27.80%,1231,56.80%,800,36.90%,1125,51.90%,973,44.90%,3467,7.07%,1443,41.62%,820,532,356,297,734,912,56,6.42%,-415,-411,-827,287,-725,,
Harris-545,Harris,545,1949,2487,127.60%,972,39.10%,718,28.90%,1385,55.70%,977,39.30%,1268,51.00%,1129,45.40%,4372,124.32%,1692,38.70%,942,665,523,354,747,959,68,1.00%,-321,-443,-764,277,-795,,
Fort Bend-2016,Fort Bend,2016,3811,2233,58.59%,993,44.47%,770,34.48%,1243,55.67%,850,38.07%,1130,50.60%,1021,45.72%,3840,0.76%,1376,35.83%,766,524,405,344,574,780,53,1.05%,-111,-477,-588,242,-857,,
Brazoria-54,Brazoria,54,2983,1999,67.01%,673,33.70%,512,25.60%,1103,55.20%,734,36.70%,1036,51.80%,896,44.80%,2995,0.40%,1261,42.10%,696,463,342,276,592,758,51,4.88%,-247,-407,-654,233,-738,,
Brazoria-62,Brazoria,62,4254,2531,59.50%,893,35.30%,649,25.60%,1398,55.20%,993,39.20%,1319,52.10%,1144,45.20%,4262,0.19%,1420,33.32%,784,557,453,266,618,778,83,-0.44%,2,-614,-612,227,-1111,,
Fort Bend-4127,Fort Bend,4127,2927,1977,67.54%,757,38.29%,648,32.78%,1090,55.13%,765,38.69%,966,48.86%,959,48.51%,2870,-1.95%,1295,45.12%,714,501,452,288,507,680,48,-2.64%,-97,-376,-473,213,-682,,
Harris-417,Harris,417,2589,1504,58.09%,606,40.30%,420,27.90%,829,55.10%,578,38.40%,811,53.90%,637,42.40%,2638,1.89%,764,28.96%,421,293,217,148,368,457,31,4.69%,4,-408,-404,128,-740,Paid Canvass,
Fort Bend-4044,Fort Bend,4044,2841,2091,73.60%,847,40.51%,787,37.64%,1141,54.57%,848,40.55%,962,46.01%,1064,50.88%,3325,17.04%,1655,49.77%,903,671,527,529,480,797,119,-6.39%,-136,-238,-374,232,-436,,
Fort Bend-4117,Fort Bend,4117,3824,2690,70.35%,1161,43.16%,885,32.90%,1463,54.39%,1059,39.37%,1386,51.52%,1225,45.54%,4765,24.61%,1815,38.09%,987,715,421,384,901,1131,109,7.95%,-569,-476,-1045,273,-875,VOL DOORS,
Fort Bend-1074,Fort Bend,1074,3575,2189,61.23%,900,41.11%,687,31.38%,1172,53.54%,906,41.39%,1099,50.21%,1012,46.23%,3863,8.06%,1321,34.20%,707,547,432,242,600,745,47,2.87%,-173,-465,-638,161,-868,,
Harris-762,Harris,762,1828,1230,67.29%,443,36.00%,371,30.20%,658,53.50%,500,40.70%,616,50.10%,563,45.80%,2565,40.32%,959,37.39%,513,390,230,275,399,564,55,5.31%,-305,-145,-450,123,-271,,
Fort Bend-4121,Fort Bend,4121,812,482,59.36%,194,40.25%,156,32.37%,255,52.90%,196,40.66%,236,48.96%,237,49.17%,790,-2.71%,292,36.96%,154,119,79,99,92,151,22,-1.06%,12,-101,-89,36,-190,,
Brazoria-44,Brazoria,44,5501,3712,67.48%,1169,31.50%,1074,28.90%,1963,52.90%,1488,40.10%,1793,48.30%,1836,49.50%,5705,3.71%,2373,41.60%,1255,952,846,480,928,1216,119,-1.66%,-181,-708,-889,304,-1339,,
Fort Bend-4065,Fort Bend,4065,4483,2965,66.14%,1133,38.21%,1070,36.09%,1553,52.38%,1246,42.02%,1354,45.67%,1540,51.94%,4832,7.78%,2198,45.49%,1151,924,757,530,817,1135,94,-0.74%,-399,-402,-801,228,-767,,
Brazoria-58,Brazoria,58,1961,1289,65.73%,375,29.10%,413,32.00%,666,51.70%,550,42.70%,578,44.80%,684,53.10%,1999,1.94%,836,41.82%,432,357,342,174,277,381,43,-6.08%,8,-234,-226,75,-453,,
Harris-715,Harris,715,1549,792,51.13%,304,38.40%,253,31.90%,407,51.40%,350,44.20%,395,49.90%,379,47.90%,1668,7.68%,380,22.78%,195,168,131,89,142,195,18,0.02%,70,-212,-142,27,-412,,
Fort Bend-4035,Fort Bend,4035,1806,1156,64.01%,453,39.19%,423,36.59%,594,51.38%,497,42.99%,524,45.33%,592,51.21%,1796,-0.55%,744,41.43%,382,320,297,219,197,328,31,-7.24%,69,-212,-143,62,-412,,
Fort Bend-4080,Fort Bend,4080,1246,803,64.45%,280,34.87%,289,35.99%,412,51.31%,346,43.09%,339,42.22%,434,54.05%,1324,6.26%,555,41.92%,285,239,245,141,141,226,28,-10.66%,45,-127,-82,46,-248,,
Fort Bend-4047,Fort Bend,4047,912,604,66.23%,202,33.44%,234,38.74%,304,50.33%,262,43.38%,248,41.06%,339,56.13%,861,-5.59%,419,48.66%,211,182,174,109,122,187,14,-5.61%,-5,-93,-99,29,-185,,
Fort Bend-4079,Fort Bend,4079,480,308,64.17%,93,30.19%,109,35.39%,155,50.32%,133,43.18%,116,37.66%,175,56.82%,458,-4.58%,198,43.23%,100,86,84,49,55,84,10,-7.70%,16,-55,-40,14,-110,,
Fort Bend-2061,Fort Bend,2061,5859,4324,73.80%,1560,36.08%,1620,37.47%,2170,50.19%,1893,43.78%,1949,45.07%,2266,52.41%,3896,,1946,49.95%,977,852,581,469,800,1081,96,5.39%,289,-1193,-905,125,-2378,VOL DOORS,
Harris-76,Harris,76,2441,1444,59.16%,470,32.50%,472,32.70%,723,50.10%,650,45.00%,689,47.70%,703,48.70%,2513,2.95%,747,29.73%,374,336,280,181,266,375,20,0.05%,82,-349,-266,38,-697,,
Harris-393,Harris,393,1274,686,53.85%,241,35.10%,202,29.40%,339,49.40%,283,41.30%,345,50.30%,319,46.50%,1404,10.20%,300,21.37%,148,124,78,81,120,169,21,6.80%,50,-191,-140,24,-386,Paid Canvass,
Fort Bend-4045,Fort Bend,4045,1982,1192,60.14%,476,39.93%,427,35.82%,588,49.33%,520,43.62%,563,47.23%,594,49.83%,1956,-1.31%,719,36.76%,355,314,257,156,275,369,31,1.94%,-56,-233,-289,41,-473,,
Fort Bend-4129,Fort Bend,4129,4518,3313,73.33%,1099,33.17%,1255,37.88%,1631,49.23%,1496,45.16%,1330,40.14%,1909,57.62%,5400,19.52%,2584,47.85%,1272,1167,1095,574,762,1106,153,-6.41%,-237,-359,-596,105,-729,,
Harris-416,Harris,416,4009,2290,57.12%,748,32.70%,740,32.30%,1111,48.50%,990,43.20%,1084,47.30%,1120,48.90%,4349,8.48%,1075,24.72%,521,464,277,311,439,626,48,9.70%,46,-590,-543,57,-1215,,
Fort Bend-1012,Fort Bend,1012,2808,1333,47.47%,515,38.63%,426,31.96%,644,48.31%,617,46.29%,607,45.54%,675,50.64%,2787,-0.75%,614,22.03%,297,284,270,109,218,283,17,-2.16%,143,-347,-205,12,-719,,latino
Harris-654,Harris,654,5063,3087,60.97%,1017,32.90%,1007,32.60%,1484,48.10%,1430,46.30%,1401,45.40%,1584,51.30%,5358,5.83%,1900,35.46%,914,880,679,463,689,967,69,2.78%,-172,-570,-742,34,-1187,,
Harris-476,Harris,476,2458,1485,60.41%,468,31.50%,484,32.60%,702,47.30%,693,46.70%,664,44.70%,783,52.70%,2524,2.69%,845,33.48%,400,395,299,200,310,430,36,3.59%,-38,-302,-340,5,-640,,
Fort Bend-4110,Fort Bend,4110,2749,1741,63.33%,593,34.06%,680,39.06%,822,47.21%,818,46.98%,712,40.90%,971,55.77%,2649,-3.64%,1105,41.71%,522,519,452,267,325,485,61,-3.30%,12,-300,-288,3,-636,,
Fort Bend-4046,Fort Bend,4046,3351,2092,62.43%,678,32.41%,809,38.67%,982,46.94%,953,45.55%,855,40.87%,1169,55.88%,3306,-1.34%,1445,43.71%,678,658,634,338,419,622,54,-3.91%,-59,-304,-363,20,-647,,
Brazoria-60,Brazoria,60,4816,3313,68.79%,881,26.60%,1074,32.40%,1550,46.80%,1533,46.30%,1379,41.60%,1845,55.70%,5013,4.09%,2239,44.66%,1048,1037,997,451,707,978,84,-3.14%,-135,-502,-637,11,-1074,,
Fort Bend-4084,Fort Bend,4084,1689,1109,65.66%,318,28.67%,417,37.60%,518,46.71%,517,46.62%,428,38.59%,644,58.07%,1622,-3.97%,769,47.41%,359,358,376,166,193,293,34,-8.66%,32,-159,-126,1,-340,,
Fort Bend-4105,Fort Bend,4105,1425,946,66.39%,335,35.41%,390,41.23%,441,46.62%,468,49.47%,388,41.01%,543,57.40%,1733,21.61%,795,45.87%,371,393,367,145,245,332,38,-4.86%,-136,-70,-206,-23,-151,,
Fort Bend-1037,Fort Bend,1037,2944,1529,51.94%,537,35.12%,517,33.81%,698,45.65%,744,48.66%,644,42.12%,833,54.48%,2914,-1.02%,808,27.73%,369,393,431,121,233,306,23,-7.83%,159,-329,-170,-24,-721,,
Fort Bend-1109,Fort Bend,1109,787,579,73.57%,198,34.20%,241,41.62%,264,45.60%,285,49.22%,256,44.21%,313,54.06%,873,10.93%,402,46.05%,183,198,176,67,148,188,11,1.22%,-72,-81,-153,-15,-177,,
Fort Bend-1007,Fort Bend,1007,6184,4400,71.15%,1553,35.30%,1797,40.84%,1999,45.43%,2168,49.27%,1877,42.66%,2397,54.48%,6715,8.59%,2539,37.81%,1154,1251,936,576,890,1236,137,3.23%,-127,-845,-972,-98,-1861,,
Harris-655,Harris,655,4495,2723,60.58%,802,29.50%,950,34.90%,1221,44.80%,1292,47.40%,1137,41.80%,1484,54.50%,4675,4.00%,1388,29.69%,622,658,534,340,455,659,59,2.68%,107,-599,-492,-36,-1335,,
Fort Bend-4026,Fort Bend,4026,3188,2205,69.17%,663,30.07%,918,41.63%,971,44.04%,1094,49.61%,826,37.46%,1328,60.23%,3041,-4.61%,1526,50.18%,672,757,810,308,371,556,37,-7.61%,44,-299,-255,-85,-679,,
Fort Bend-1085,Fort Bend,1085,3141,1923,61.22%,605,31.46%,808,42.02%,844,43.89%,979,50.91%,786,40.87%,1088,56.58%,3183,1.34%,1059,33.27%,465,539,453,241,324,469,41,0.36%,51,-379,-328,-74,-864,,
Harris-996,Harris,996,708,474,66.95%,131,27.60%,156,32.90%,207,43.70%,245,51.70%,200,42.20%,258,54.40%,717,1.27%,286,39.89%,125,148,109,64,105,143,8,6.44%,-41,-82,-123,-23,-188,,
Harris-750,Harris,750,809,417,51.55%,125,30.00%,165,39.60%,182,43.60%,204,48.90%,169,40.50%,228,54.70%,890,10.01%,195,21.91%,85,95,76,48,61,90,10,2.45%,31,-97,-66,-10,-222,Savannah needs to hit on Monday evening,
Fort Bend-1013,Fort Bend,1013,2796,1702,60.87%,564,33.14%,618,36.31%,739,43.42%,862,50.65%,695,40.83%,960,56.40%,2939,5.11%,964,32.80%,419,488,519,156,265,359,24,-6.22%,115,-320,-205,-70,-738,,
Fort Bend-3069,Fort Bend,3069,442,310,70.14%,99,31.94%,138,44.52%,134,43.23%,160,51.61%,121,39.03%,178,57.42%,433,-2.04%,219,50.58%,95,113,127,33,58,78,1,-7.70%,-2,-39,-41,-18,-91,,
Fort Bend-1097,Fort Bend,1097,4580,3275,71.51%,980,29.92%,1360,41.53%,1415,43.21%,1659,50.66%,1289,39.36%,1924,58.75%,4735,3.38%,2213,46.74%,956,1121,1011,483,636,926,83,-1.37%,-147,-459,-606,-165,-1062,,
